tag,acomp,advcl,advmod,agent,amod,appos,attr,aux,auxpass,cc,ccomp,complm,conj,csubj,csubjpass,dep,det,dobj,expl,hmod,hyph,infmod,intj,iobj,mark,meta,neg,nmod,npadvmod,nsubj,nsubjpass,number,oprd,parataxis,partmod,pcomp,pobj,poss,possessive,preconj,predet,prep,prt,punct,quantmod,rcmod,root,xcomp
GER,4,14,3,0,1,2,14,0,0,0,15,0,32,3,0,0,0,31,0,0,0,0,0,0,0,0,0,2,0,10,3,0,0,0,0,8,46,0,0,0,0,34,0,0,0,0,0,16
TEL,0,24,2,0,0,0,10,0,1,2,11,0,5,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,3,14,2,0,0,0,0,3,18,0,0,0,0,25,0,0,0,0,0,0
JPN,2,11,5,0,2,5,15,0,0,1,20,0,10,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,4,15,0,0,1,0,24,0,0,0,0,0,19
TEL,4,36,1,0,2,0,0,0,0,0,40,0,26,1,0,0,0,30,0,0,0,0,0,0,1,0,0,0,0,16,2,0,3,0,0,7,42,8,0,0,0,37,0,0,0,0,0,25
TEL,0,22,2,3,2,0,6,5,0,0,20,0,35,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,19,70,0,0,0,0,57,0,1,0,0,0,7
TUR,2,21,5,1,14,0,8,0,0,2,25,0,11,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,13,1,0,4,0,0,9,38,0,0,0,0,44,0,0,0,0,0,8
ARA,5,26,7,0,4,0,12,0,0,0,43,0,57,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,12,41,0,0,0,0,42,0,0,0,0,0,12
FRE,9,17,4,0,4,7,14,4,1,0,32,0,27,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1,0,27,1,0,0,0,0,1,35,1,0,0,0,34,0,0,0,0,0,9
TEL,2,24,1,3,7,3,35,0,0,0,54,0,31,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,4,19,7,0,0,2,0,14,119,2,0,0,0,85,0,0,0,0,0,3
TEL,1,21,1,0,1,0,10,0,0,1,30,0,26,1,0,2,0,38,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,10,22,0,0,0,0,27,0,0,0,0,0,16
HIN,2,9,1,0,1,2,5,1,0,0,15,0,25,0,0,2,0,41,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,32,0,0,0,0,32,0,0,0,0,0,14
SPA,3,23,2,0,2,0,20,0,0,0,17,0,36,8,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2,15,2,0,0,0,0,3,25,0,0,0,0,25,0,0,0,0,0,7
KOR,7,22,3,0,8,0,8,0,0,0,5,0,9,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,3,0,1,40,0,0,0,0,28,0,0,0,0,0,16
JPN,6,19,2,0,1,0,12,2,0,1,10,0,69,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,5,22,0,0,0,0,29,0,0,0,0,0,19
GER,12,11,1,0,1,0,7,0,0,0,12,0,28,8,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7,49,0,0,0,0,45,0,0,0,0,0,43
JPN,5,23,5,0,0,0,2,0,0,0,31,0,9,1,0,0,0,14,0,0,0,0,0,0,0,0,0,3,1,17,0,0,0,0,0,2,9,0,0,0,0,10,0,0,0,0,0,12
KOR,7,22,2,1,5,3,13,0,3,2,43,0,50,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,11,63,2,0,0,0,54,0,0,0,0,0,13
TEL,6,13,0,0,1,0,3,0,0,4,29,0,31,2,0,0,0,34,0,0,0,0,0,0,0,0,0,1,0,30,1,0,0,0,0,4,38,0,0,0,0,36,0,0,0,0,0,16
ARA,0,32,0,1,2,3,4,0,0,0,10,0,23,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,5,36,0,0,0,0,32,0,0,0,0,0,8
KOR,6,33,3,0,0,0,16,0,0,0,18,0,32,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,4,16,2,0,0,0,0,3,14,0,0,0,0,33,0,0,0,0,0,9
ARA,9,15,1,0,0,3,9,0,0,0,8,0,36,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,7,0,3,34,0,0,0,0,31,0,0,0,0,0,15
HIN,6,27,1,0,4,0,10,0,4,1,8,0,21,0,0,0,0,37,0,0,0,0,0,0,0,0,0,2,2,23,1,0,0,0,0,12,30,2,0,0,0,37,0,0,0,0,0,30
FRE,3,13,3,0,3,0,12,0,0,0,50,0,23,3,0,1,0,32,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,6,0,12,34,0,0,0,0,40,0,0,0,0,0,16
HIN,8,2,1,0,2,0,7,0,0,1,53,0,20,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,3,35,0,0,1,0,37,0,0,0,0,0,6
GER,8,13,2,1,2,0,11,0,0,0,27,0,46,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,27,0,0,1,0,31,0,0,0,0,0,11
CHI,4,54,7,1,2,0,7,0,0,0,29,0,18,1,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,26,4,0,4,0,0,3,36,2,0,0,0,29,0,0,0,0,0,13
TUR,6,6,3,0,1,3,9,0,0,0,12,0,19,6,0,0,0,38,0,0,0,0,0,0,0,0,0,0,3,12,1,0,0,0,0,10,27,0,0,0,0,31,0,0,0,0,0,39
JPN,3,23,0,0,4,0,12,0,0,2,11,0,13,0,0,1,0,24,0,0,0,0,0,0,1,0,0,0,1,10,0,0,0,0,0,1,34,0,0,1,0,40,0,0,0,0,0,18
HIN,11,22,4,0,2,0,17,0,0,0,14,0,29,4,0,0,0,22,0,0,0,0,0,0,0,0,0,2,0,14,4,0,2,0,0,1,27,0,0,0,0,25,0,0,0,0,0,14
FRE,4,28,6,0,4,1,16,0,0,0,29,0,14,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,11,34,1,0,0,0,38,0,0,0,0,0,6
ITA,11,21,0,0,1,4,0,0,0,1,31,0,50,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,7,50,0,0,1,0,36,0,0,0,0,0,20
CHI,9,32,3,1,6,0,8,0,0,0,29,0,22,0,0,0,0,28,0,0,0,0,0,0,0,0,2,0,1,28,1,0,0,0,0,1,38,2,0,0,0,39,0,0,0,0,0,2
TUR,9,31,4,0,8,0,8,0,0,1,15,0,31,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,20,3,0,0,0,0,5,25,0,0,1,0,37,0,0,0,0,0,14
JPN,1,22,6,1,3,4,18,0,0,0,42,0,4,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,1,19,1,0,4,0,0,0,51,0,0,0,0,42,0,0,0,0,0,5
ITA,4,20,0,0,1,3,8,0,0,0,24,0,26,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,24,0,0,0,0,26,0,0,0,0,0,0
GER,12,39,1,0,2,0,1,1,0,0,24,0,36,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,12,3,0,0,0,0,9,27,0,0,0,0,34,0,0,0,0,0,36
FRE,3,22,0,0,3,0,21,0,0,0,30,0,51,3,0,0,0,33,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,3,26,0,0,0,0,24,0,0,0,0,0,24
HIN,0,18,0,3,2,1,2,0,0,0,4,0,13,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,55,0,0,0,0,36,0,0,0,0,0,14
TUR,5,13,1,0,3,0,6,0,1,1,27,0,8,0,0,0,0,17,0,0,0,0,0,0,3,0,0,0,0,30,3,0,0,0,0,4,39,3,0,0,0,33,0,1,0,0,0,4
ARA,7,24,1,0,0,0,3,0,0,0,15,0,35,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,4,18,0,0,0,0,27,0,0,0,0,0,13
TEL,4,25,2,3,0,4,22,1,0,0,23,0,22,2,0,0,0,33,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,5,68,0,0,1,0,55,0,0,0,0,0,7
HIN,9,35,1,0,0,0,5,0,0,0,30,0,38,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,0,5,32,0,0,0,0,29,0,0,0,0,0,12
FRE,4,11,1,0,2,1,7,0,0,0,27,0,12,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,11,0,0,0,0,15,0,0,0,0,0,2
ARA,4,12,1,0,0,3,12,0,0,2,12,0,13,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,4,41,0,0,0,0,28,0,0,0,0,0,13
ITA,13,15,1,0,0,2,27,0,0,0,42,0,34,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,34,0,0,4,0,32,0,1,0,0,0,11
TUR,5,36,5,0,7,0,16,1,0,4,61,0,24,7,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,38,7,0,2,0,0,2,41,1,0,0,0,40,0,0,0,0,0,19
SPA,2,43,1,0,0,0,6,0,0,0,50,0,28,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,2,0,3,32,0,0,0,0,31,1,0,0,0,0,9
TEL,5,12,5,0,6,2,7,0,1,2,8,0,16,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,2,33,1,0,0,0,0,15,49,9,0,1,0,40,0,0,0,0,0,7
KOR,6,23,3,1,5,0,13,0,0,0,41,0,13,1,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,6,19,4,0,0,0,26,0,1,0,0,0,2
FRE,1,23,2,0,3,0,7,0,0,0,32,0,25,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,16,49,0,0,1,0,51,0,0,0,0,0,12
GER,1,15,0,1,4,0,7,0,1,1,26,0,31,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,6,3,0,4,0,0,6,36,0,0,1,0,28,0,0,0,0,0,22
HIN,4,40,1,0,2,0,2,0,3,0,20,0,19,2,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,1,35,2,0,0,0,27,0,0,0,0,0,15
FRE,8,21,0,1,5,0,9,0,0,0,31,0,18,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,3,31,0,0,0,0,30,0,0,0,0,0,21
SPA,1,20,0,1,1,2,12,0,0,1,44,0,9,0,0,1,0,26,0,0,0,0,0,0,0,0,0,0,2,19,2,0,0,0,0,3,29,1,0,1,0,28,0,0,0,0,0,10
KOR,4,32,5,2,0,0,3,0,0,0,32,0,25,0,0,0,0,22,0,0,0,0,0,0,1,0,0,0,1,11,0,0,0,0,0,2,31,2,0,1,0,30,0,0,0,0,0,25
HIN,2,28,6,0,4,2,13,0,0,4,20,0,22,3,0,0,1,41,0,0,0,0,0,0,0,0,0,3,1,5,0,0,2,0,0,6,52,0,0,0,0,44,0,0,0,0,0,6
FRE,4,7,1,0,10,0,3,0,0,0,18,0,31,3,0,2,0,39,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,5,74,0,0,0,0,53,0,0,0,0,0,14
HIN,4,47,2,0,6,3,9,0,0,0,17,0,21,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,5,51,0,0,0,0,46,0,0,0,0,0,14
KOR,4,39,0,0,1,0,3,2,0,2,11,0,17,4,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,36,2,0,0,0,28,0,0,0,0,0,14
GER,20,26,1,2,4,0,7,0,0,2,24,0,27,10,0,0,0,31,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,8,48,0,0,1,0,43,0,0,0,0,0,28
ITA,0,7,1,0,1,0,1,0,0,1,6,0,24,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,20,4,0,0,0,11,0,0,0,0,0,0
GER,10,15,1,5,7,0,11,0,0,2,14,0,43,4,0,0,1,34,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,9,67,0,0,0,0,58,0,0,0,0,0,9
HIN,6,29,6,2,0,0,6,0,1,0,40,0,25,3,0,0,0,31,0,0,0,0,0,0,1,0,0,0,1,22,0,0,0,0,0,7,66,0,0,0,0,51,0,0,0,0,0,4
TEL,15,36,8,1,5,0,6,0,0,2,21,0,46,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,3,17,2,0,0,0,0,6,48,2,0,0,0,43,0,0,0,0,0,15
SPA,9,37,0,0,0,0,12,0,0,0,53,0,25,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,3,31,0,0,0,0,22,0,0,0,0,0,18
JPN,4,8,4,0,6,5,5,0,0,2,13,0,17,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,11,0,0,0,0,15,0,0,0,0,0,20
GER,12,17,2,0,4,0,8,0,0,0,13,0,23,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,3,18,0,0,0,0,18,0,0,0,0,0,11
CHI,8,39,3,0,0,0,7,0,0,1,26,0,34,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,7,30,0,0,1,2,26,0,0,0,0,0,11
ITA,3,28,3,0,1,0,7,0,0,0,20,0,14,0,0,0,1,15,0,0,0,0,0,0,1,0,1,2,2,11,0,0,3,0,0,7,13,0,0,0,0,19,0,0,0,0,0,6
CHI,5,29,8,1,8,0,6,0,3,0,41,0,28,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,17,0,0,7,0,0,4,13,0,0,0,0,15,0,0,0,0,0,4
TUR,5,42,1,0,0,1,3,0,0,2,23,0,40,5,0,0,0,38,0,0,0,0,0,0,2,0,0,0,6,8,8,0,0,0,0,2,50,1,0,0,0,40,0,0,0,0,0,8
TUR,2,35,0,2,5,0,13,1,0,1,43,0,5,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,19,4,0,5,0,0,8,54,2,0,0,0,47,0,0,0,0,0,13
CHI,5,26,3,1,4,0,0,0,0,0,19,0,16,6,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,8,33,2,0,0,0,30,0,2,0,0,0,12
HIN,11,24,2,0,2,0,6,0,0,0,39,0,36,6,0,0,0,31,0,0,0,0,0,0,0,0,0,0,1,21,3,0,2,0,0,7,45,0,0,1,0,34,1,0,0,0,0,2
JPN,0,16,2,1,1,0,7,0,0,0,14,0,6,2,0,1,0,24,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,25,0,0,0,0,19,0,0,0,0,0,7
GER,5,13,0,0,1,0,14,0,0,0,28,0,34,2,0,0,0,23,0,0,0,0,0,0,1,0,1,0,0,22,5,0,0,0,0,3,33,1,0,0,0,37,0,0,0,0,0,13
CHI,6,30,6,1,1,0,0,0,0,0,17,0,15,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,3,20,1,0,0,0,20,0,0,0,0,0,25
HIN,8,36,3,0,11,1,18,0,0,0,10,0,9,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,1,37,3,0,0,0,0,11,48,0,0,0,0,45,0,0,0,0,0,13
HIN,9,54,7,0,2,0,7,0,0,3,47,0,50,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,1,43,0,0,0,1,48,0,1,0,0,0,18
FRE,5,24,0,0,3,0,16,0,0,2,24,0,17,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,39,0,0,0,0,28,0,0,0,0,0,24
JPN,2,21,1,1,1,1,4,6,0,1,18,0,9,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,14,3,0,0,0,0,0,38,0,0,0,0,42,0,0,0,0,0,11
